"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_022_1"
"Cycles: 2008 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Qualification group, Ethnic group, Applicant type                                  "
"Coverage: UK, 18 year old applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     1735 lines in total"
"------------------------------------------------------------------"
Year,Qualification group,Ethnic group,Applicant type,Applicants,
2008,All,All,All,244070
2009,All,All,All,257090
2010,All,All,All,270350
2011,All,All,All,269195
2012,All,All,All,260360
2013,All,All,All,262850
2014,All,All,All,268760
2015,All,All,All,279365
2016,All,All,All,281035
2017,All,All,All,282380
2018,All,All,All,277530
2019,All,All,All,281080
2020,All,All,All,289510
2021,All,All,All,316200
2008,All,All,Main scheme applicant,240020
2008,All,All,Non-main scheme applicant,4050
2009,All,All,Main scheme applicant,253535
2009,All,All,Non-main scheme applicant,3550
2010,All,All,Main scheme applicant,268370
2010,All,All,Non-main scheme applicant,1975
2011,All,All,Main scheme applicant,267410
2011,All,All,Non-main scheme applicant,1790
2012,All,All,Main scheme applicant,257430
2012,All,All,Non-main scheme applicant,2930
2013,All,All,Main scheme applicant,259410
2013,All,All,Non-main scheme applicant,3435
2014,All,All,Main scheme applicant,265980
2014,All,All,Non-main scheme applicant,2780
2015,All,All,Main scheme applicant,275875
2015,All,All,Non-main scheme applicant,3490
2016,All,All,Main scheme applicant,277495
2016,All,All,Non-main scheme applicant,3540
2017,All,All,Main scheme applicant,278145
2017,All,All,Non-main scheme applicant,4230
2018,All,All,Main scheme applicant,272925
2018,All,All,Non-main scheme applicant,4600
2019,All,All,Main scheme applicant,275535
2019,All,All,Non-main scheme applicant,5550
2020,All,All,Main scheme applicant,281995
2020,All,All,Non-main scheme applicant,7510
2021,All,All,Main scheme applicant,311080
2021,All,All,Non-main scheme applicant,5120
2008,All,Asian,All,21785
2008,All,Black,All,7595
2008,All,Mixed,All,6915
2008,All,Other,All,1835
2008,All,Unknown or Prefer Not To Say,All,3955
2008,All,White,All,201980
2009,All,Asian,All,22895
2009,All,Black,All,8395
2009,All,Mixed,All,7675
2009,All,Other,All,1855
2009,All,Unknown or Prefer Not To Say,All,2890
2009,All,White,All,213385
2010,All,Asian,All,24380
2010,All,Black,All,9445
2010,All,Mixed,All,8175
2010,All,Other,All,2145
2010,All,Unknown or Prefer Not To Say,All,1780
2010,All,White,All,224425
2011,All,Asian,All,25400
2011,All,Black,All,10355
2011,All,Mixed,All,8955
2011,All,Other,All,2345
2011,All,Unknown or Prefer Not To Say,All,1530
2011,All,White,All,220610
2012,All,Asian,All,25380
2012,All,Black,All,10460
2012,All,Mixed,All,8765
2012,All,Other,All,2745
2012,All,Unknown or Prefer Not To Say,All,1455
2012,All,White,All,211560
2013,All,Asian,All,26460
2013,All,Black,All,11835
2013,All,Mixed,All,9270
2013,All,Other,All,2855
2013,All,Unknown or Prefer Not To Say,All,1355
2013,All,White,All,211070
2014,All,Asian,All,28040
2014,All,Black,All,12475
2014,All,Mixed,All,9925
2014,All,Other,All,3315
2014,All,Unknown or Prefer Not To Say,All,1315
2014,All,White,All,213690
2015,All,Asian,All,30050
2015,All,Black,All,13690
2015,All,Mixed,All,11095
2015,All,Other,All,3615
2015,All,Unknown or Prefer Not To Say,All,1740
2015,All,White,All,219170
2016,All,Asian,All,31660
2016,All,Black,All,13940
2016,All,Mixed,All,11615
2016,All,Other,All,3815
2016,All,Unknown or Prefer Not To Say,All,1920
2016,All,White,All,218085
2017,All,Asian,All,33535
2017,All,Black,All,14265
2017,All,Mixed,All,12345
2017,All,Other,All,4245
2017,All,Unknown or Prefer Not To Say,All,1895
2017,All,White,All,216095
2018,All,Asian,All,35535
2018,All,Black,All,15005
2018,All,Mixed,All,12475
2018,All,Other,All,4490
2018,All,Unknown or Prefer Not To Say,All,2125
2018,All,White,All,207895
2019,All,Asian,All,39285
2019,All,Black,All,16470
2019,All,Mixed,All,13410
2019,All,Other,All,5255
2019,All,Unknown or Prefer Not To Say,All,2275
2019,All,White,All,204385
2020,All,Asian,All,43095
2020,All,Black,All,17970
2020,All,Mixed,All,14580
2020,All,Other,All,5760
2020,All,Unknown or Prefer Not To Say,All,2395
2020,All,White,All,205705
2021,All,Asian,All,47295
2021,All,Black,All,20365
2021,All,Mixed,All,16710
2021,All,Other,All,6560
2021,All,Unknown or Prefer Not To Say,All,2600
2021,All,White,All,222665
2008,All,Asian,Main scheme applicant,21570
2008,All,Asian,Non-main scheme applicant,220
2008,All,Black,Main scheme applicant,7485
2008,All,Black,Non-main scheme applicant,110
2008,All,Mixed,Main scheme applicant,6855
2008,All,Mixed,Non-main scheme applicant,60
2008,All,Other,Main scheme applicant,1810
2008,All,Other,Non-main scheme applicant,25
2008,All,Unknown or Prefer Not To Say,Main scheme applicant,2255
2008,All,Unknown or Prefer Not To Say,Non-main scheme applicant,1705
2008,All,White,Main scheme applicant,200045
2008,All,White,Non-main scheme applicant,1935
2009,All,Asian,Main scheme applicant,22720
2009,All,Asian,Non-main scheme applicant,175
2009,All,Black,Main scheme applicant,8300
2009,All,Black,Non-main scheme applicant,95
2009,All,Mixed,Main scheme applicant,7610
2009,All,Mixed,Non-main scheme applicant,65
2009,All,Other,Main scheme applicant,1830
2009,All,Other,Non-main scheme applicant,25
2009,All,Unknown or Prefer Not To Say,Main scheme applicant,1550
2009,All,Unknown or Prefer Not To Say,Non-main scheme applicant,1340
2009,All,White,Main scheme applicant,211525
2009,All,White,Non-main scheme applicant,1855
2010,All,Asian,Main scheme applicant,24210
2010,All,Asian,Non-main scheme applicant,170
2010,All,Black,Main scheme applicant,9355
2010,All,Black,Non-main scheme applicant,90
2010,All,Mixed,Main scheme applicant,8125
2010,All,Mixed,Non-main scheme applicant,45
2010,All,Other,Main scheme applicant,2125
2010,All,Other,Non-main scheme applicant,20
2010,All,Unknown or Prefer Not To Say,Main scheme applicant,1515
2010,All,Unknown or Prefer Not To Say,Non-main scheme applicant,260
2010,All,White,Main scheme applicant,223035
2010,All,White,Non-main scheme applicant,1395
2011,All,Asian,Main scheme applicant,25220
2011,All,Asian,Non-main scheme applicant,180
2011,All,Black,Main scheme applicant,10225
2011,All,Black,Non-main scheme applicant,130
2011,All,Mixed,Main scheme applicant,8885
2011,All,Mixed,Non-main scheme applicant,70
2011,All,Other,Main scheme applicant,2320
2011,All,Other,Non-main scheme applicant,30
2011,All,Unknown or Prefer Not To Say,Main scheme applicant,1390
2011,All,Unknown or Prefer Not To Say,Non-main scheme applicant,135
2011,All,White,Main scheme applicant,219365
2011,All,White,Non-main scheme applicant,1240
2012,All,Asian,Main scheme applicant,25090
2012,All,Asian,Non-main scheme applicant,290
2012,All,Black,Main scheme applicant,10290
2012,All,Black,Non-main scheme applicant,170
2012,All,Mixed,Main scheme applicant,8685
2012,All,Mixed,Non-main scheme applicant,80
2012,All,Other,Main scheme applicant,2680
2012,All,Other,Non-main scheme applicant,60
2012,All,Unknown or Prefer Not To Say,Main scheme applicant,1230
2012,All,Unknown or Prefer Not To Say,Non-main scheme applicant,225
2012,All,White,Main scheme applicant,209455
2012,All,White,Non-main scheme applicant,2105
2013,All,Asian,Main scheme applicant,26100
2013,All,Asian,Non-main scheme applicant,360
2013,All,Black,Main scheme applicant,11600
2013,All,Black,Non-main scheme applicant,235
2013,All,Mixed,Main scheme applicant,9150
2013,All,Mixed,Non-main scheme applicant,120
2013,All,Other,Main scheme applicant,2805
2013,All,Other,Non-main scheme applicant,50
2013,All,Unknown or Prefer Not To Say,Main scheme applicant,1120
2013,All,Unknown or Prefer Not To Say,Non-main scheme applicant,240
2013,All,White,Main scheme applicant,208640
2013,All,White,Non-main scheme applicant,2430
2014,All,Asian,Main scheme applicant,27725
2014,All,Asian,Non-main scheme applicant,315
2014,All,Black,Main scheme applicant,12295
2014,All,Black,Non-main scheme applicant,180
2014,All,Mixed,Main scheme applicant,9830
2014,All,Mixed,Non-main scheme applicant,95
2014,All,Other,Main scheme applicant,3240
2014,All,Other,Non-main scheme applicant,70
2014,All,Unknown or Prefer Not To Say,Main scheme applicant,1085
2014,All,Unknown or Prefer Not To Say,Non-main scheme applicant,225
2014,All,White,Main scheme applicant,211800
2014,All,White,Non-main scheme applicant,1890
2015,All,Asian,Main scheme applicant,29690
2015,All,Asian,Non-main scheme applicant,360
2015,All,Black,Main scheme applicant,13430
2015,All,Black,Non-main scheme applicant,260
2015,All,Mixed,Main scheme applicant,10950
2015,All,Mixed,Non-main scheme applicant,145
2015,All,Other,Main scheme applicant,3530
2015,All,Other,Non-main scheme applicant,90
2015,All,Unknown or Prefer Not To Say,Main scheme applicant,1575
2015,All,Unknown or Prefer Not To Say,Non-main scheme applicant,165
2015,All,White,Main scheme applicant,216705
2015,All,White,Non-main scheme applicant,2470
2016,All,Asian,Main scheme applicant,31290
2016,All,Asian,Non-main scheme applicant,370
2016,All,Black,Main scheme applicant,13710
2016,All,Black,Non-main scheme applicant,225
2016,All,Mixed,Main scheme applicant,11490
2016,All,Mixed,Non-main scheme applicant,125
2016,All,Other,Main scheme applicant,3725
2016,All,Other,Non-main scheme applicant,90
2016,All,Unknown or Prefer Not To Say,Main scheme applicant,1700
2016,All,Unknown or Prefer Not To Say,Non-main scheme applicant,220
2016,All,White,Main scheme applicant,215575
2016,All,White,Non-main scheme applicant,2510
2017,All,Asian,Main scheme applicant,33055
2017,All,Asian,Non-main scheme applicant,480
2017,All,Black,Main scheme applicant,13995
2017,All,Black,Non-main scheme applicant,270
2017,All,Mixed,Main scheme applicant,12140
2017,All,Mixed,Non-main scheme applicant,205
2017,All,Other,Main scheme applicant,4125
2017,All,Other,Non-main scheme applicant,120
2017,All,Unknown or Prefer Not To Say,Main scheme applicant,1685
2017,All,Unknown or Prefer Not To Say,Non-main scheme applicant,205
2017,All,White,Main scheme applicant,213145
2017,All,White,Non-main scheme applicant,2950
2018,All,Asian,Main scheme applicant,35010
2018,All,Asian,Non-main scheme applicant,525
2018,All,Black,Main scheme applicant,14715
2018,All,Black,Non-main scheme applicant,285
2018,All,Mixed,Main scheme applicant,12265
2018,All,Mixed,Non-main scheme applicant,215
2018,All,Other,Main scheme applicant,4365
2018,All,Other,Non-main scheme applicant,125
2018,All,Unknown or Prefer Not To Say,Main scheme applicant,1840
2018,All,Unknown or Prefer Not To Say,Non-main scheme applicant,290
2018,All,White,Main scheme applicant,204735
